Total: 69 clean records

Program ID                     | Canonical                                | Raw Name                                      | Method
--------------------------------------------------------------------------------------------------------------------------------------------
TE3                            | Kỹ thuật Hàng không                      | Kỹ thuật Hàng không                           | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
PH2                            | Kỹ thuật Hạt nhân                        | Kỹ thuật hạt nhân                             | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
CH-E11                         | Kỹ thuật Hóa dược (Chương trình tiên ti  | Kỹ thuật Hóa dược (Chương trình tiên tiến)    | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
CH1                            | Kỹ thuật Hóa học                         | Kỹ thuật Hóa học                              | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
MS5                            | Kỹ thuật In                              | Kỹ thuật in                                   | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EV1                            | Kỹ thuật Môi trường                      | Kỹ thuật Môi trường                           | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
HE1                            | Kỹ thuật Nhiệt                           | Kỹ thuật Nhiệt                                | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
TE1                            | Kỹ thuật Ô tô                            | Kỹ thuật Ô tô                                 | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
TE-E2                          | Kỹ thuật Ô tô                            | Kỹ thuật Ô tô (Chương trình tiên tiến)        | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
BF1                            | Kỹ thuật Sinh học                        | Kỹ thuật Sinh học                             | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
BF-E19                         | Kỹ thuật Sinh học                        | Kỹ thuật sinh học (Chương trình tiên tiến)    | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
BF2                            | Kỹ thuật Thực phẩm                       | Kỹ thuật Thực phẩm                            | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
BF-E12                         | Kỹ thuật Thực phẩm                       | Kỹ thuật thực phẩm (Chương trình tiên tiến)   | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
MS1                            | Khoa học và Kỹ thuật Vật liệu            | Kỹ thuật Vật liệu                             | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ET2                            | Kỹ thuật Y sinh                          | Kỹ thuật Y sinh                               | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ET-E5                          | Kỹ thuật Y sinh                          | Kỹ thuật Y sinh (Chương trình tiên tiến)      | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EM-E14                         | Khoa học Máy tính                        | Logistics và Quản lý chuỗi cung ứng (Chương   | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EM-E13                         | Quản trị Kinh doanh                      | Phân tích kinh doanh (Chương trình tiên tiến  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EM2                            | Quản lý Công nghiệp                      | Quản lý công nghiệp                           | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ED3                            | Quản lý Giáo dục                         | Quản lý giáo dục                              | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EM1                            | Quản lý năng lượng                       | Quản lý năng lượng                            | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EV2                            | Kỹ thuật Môi trường                      | Quản lý Tài nguyên và Môi trường              | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EM3                            | Quản trị Kinh doanh                      | Quản trị kinh doanh                           | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
TROY-BA                        | Quản trị Kinh doanh                      | Quản trị kinh doanh - ĐH Troy (Hoa Kỳ)        | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EM5                            | Tài chính - Ngân hàng                    | Tài chính - Ngân hàng                         | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ED5                            | Tâm lý học Công nghiệp và Tổ chức        | Tâm lý học công nghiệp và tổ chức             | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
FL2                            | Tiếng Anh Chuyên nghiệp Quốc tế          | Tiếng Anh Chuyên nghiệp Quốc tế               | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
FL1                            | Tiếng Anh Khoa học Kỹ thuật và Công ngh  | Tiếng Anh Khoa học Kỹ thuật và Công nghệ      | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
FL4                            | Tiếng Hàn Khoa học và Công nghệ          | Tiếng Hàn Khoa học và Công nghệ               | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
FL3                            | Tiếng Trung Khoa học và Công nghệ        | Tiếng Trung Khoa học và Công nghệ             | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
EE-EP                          | Kỹ thuật Điều khiển - Tự động hóa        | Tin học công nghiệp và Tự động hóa (Chương t  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
MI1                            | Toán - Tin                               | Toán - Tin                                    | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
ET-E16                         | Công nghệ Thông tin - Truyền thông       | Truyền thông số và Kỹ thuật đa phương tiện (  | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
PH1                            | Vật lý Kỹ thuật                          | Vật lý kỹ thuật                               | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
PH3                            | Vật lý Y khoa                            | Vật lý Y khoa                                 | Xét điểm thi TN THPT; Xét tuyển tài năng; Đánh giá tư duy (TSA)
